LOCATIONID;X_Maaiveld binnenwaarts;Y_Maaiveld binnenwaarts;Z_Maaiveld binnenwaarts;X_Insteek sloot polderzijde;Y_Insteek sloot polderzijde;Z_Insteek sloot polderzijde;X_Slootbodem polderzijde;Y_Slootbodem polderzijde;Z_Slootbodem polderzijde;X_Slootbodem dijkzijde;Y_Slootbodem dijkzijde;Z_Slootbodem dijkzijde;X_Insteek sloot dijkzijde;Y_Insteek sloot dijkzijde;Z_Insteek sloot dijkzijde;X_Teen dijk binnenwaarts;Y_Teen dijk binnenwaarts;Z_Teen dijk binnenwaarts;X_Kruin binnenberm;Y_Kruin binnenberm;Z_Kruin binnenberm;X_Insteek binnenberm;Y_Insteek binnenberm;Z_Insteek binnenberm;X_Kruin binnentalud;Y_Kruin binnentalud;Z_Kruin binnentalud;X_Verkeersbelasting kant binnenwaarts;Y_Verkeersbelasting kant binnenwaarts;Z_Verkeersbelasting kant binnenwaarts;X_Verkeersbelasting kant buitenwaarts;Y_Verkeersbelasting kant buitenwaarts;Z_Verkeersbelasting kant buitenwaarts;X_Kruin buitentalud;Y_Kruin buitentalud;Z_Kruin buitentalud;X_Insteek buitenberm;Y_Insteek buitenberm;Z_Insteek buitenberm;X_Kruin buitenberm;Y_Kruin buitenberm;Z_Kruin buitenberm;X_Teen dijk buitenwaarts;Y_Teen dijk buitenwaarts;Z_Teen dijk buitenwaarts;X_Insteek geul;Y_Insteek geul;Z_Insteek geul;X_Teen geul;Y_Teen geul;Z_Teen geul;X_Maaiveld buitenwaarts;Y_Maaiveld buitenwaarts;Z_Maaiveld buitenwaarts
12-2_222;133246.347;546370.927;-2.822;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;133291.486;546393.571;-1.556;133303.106;546399.4;2.018;133306.681;546401.193;2.413;133311.597;546403.659;4.099;133311.597;546403.659;4.099;133313.831;546404.78;4.192;133313.831;546404.78;4.192;133325.452;546410.609;0.153;133328.296;546412.036;-0.1;133331.262;546413.524;-2.25;-1;-1;-1;-1;-1;-1;133401.875;546448.946;-3.78
12-2_223;133257.589;546348.539;-2.806;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;133302.712;546371.214;-1.533;133313.434;546376.602;1.729;133317.902;546378.847;2.365;133322.37;546381.092;3.918;133322.37;546381.092;3.918;133324.604;546382.215;4.163;133325.497;546382.664;4.075;133335.772;546387.827;0.389;133339.524;546389.713;0.01;133342.474;546391.195;-1.98;-1;-1;-1;-1;-1;-1;133413.063;546426.666;-3.83
12-2_224;133268.815;546326.202;-2.865;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;133313.938;546348.876;-1.659;133325.107;546354.489;1.946;133329.128;546356.51;2.48;133333.596;546358.755;3.934;133333.596;546358.755;3.934;133335.83;546359.877;4.181;133336.276;546360.102;4.121;133346.999;546365.49;0.451;133350.633;546367.316;0.06;133355.041;546369.531;-2.39;-1;-1;-1;-1;-1;-1;133424.289;546404.329;-3.84
12-2_225;133280.042;546303.864;-2.935;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;133324.271;546326.09;-1.625;133336.781;546332.376;2.047;133340.802;546334.397;2.57;133345.269;546336.642;4.104;133345.269;546336.642;4.104;133347.503;546337.764;4.074;133347.056;546337.54;4.176;133358.225;546343.152;0.402;133362.485;546345.292;-0.03;133365.82;546346.969;-2.33;-1;-1;-1;-1;-1;-1;133435.516;546381.991;-3.82
12-2_226;133291.268;546281.526;-2.888;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;133335.498;546303.752;-1.678;133347.114;546309.589;2.012;133349.794;546310.936;2.404;133353.815;546312.957;4.028;133353.815;546312.957;4.028;133356.049;546314.079;4.201;133357.836;546314.978;4.27;133369.005;546320.59;0.396;133373.334;546322.765;-0.12;133377.047;546324.631;-2.31;-1;-1;-1;-1;-1;-1;133446.742;546359.654;-3.91
12-2_227;133302.393;546259.385;-2.841;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;133346.688;546281.48;-1.733;133358.769;546287.505;2.018;133363.69;546289.96;2.527;133367.717;546291.969;3.961;133367.717;546291.969;3.961;133369.954;546293.085;4.084;133369.954;546293.085;4.084;133380.693;546298.441;0.306;133384.389;546300.285;-0.15;133388.746;546302.458;-2.52;-1;-1;-1;-1;-1;-1;133458.098;546337.051;-3.88
12-2_228;133313.552;546237.014;-2.881;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;133358.742;546259.555;-1.576;133369.48;546264.911;1.645;133374.402;546267.366;2.383;133378.429;546269.375;3.792;133378.429;546269.375;3.792;133380.667;546270.49;4.043;133380.667;546270.49;4.043;133392.299;546276.293;0.254;133395.431;546277.855;-0.37;133399.011;546279.641;-2.37;-1;-1;-1;-1;-1;-1;133469.257;546314.679;-3.88
12-2_229;133324.711;546214.643;-2.917;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;133369.454;546236.96;-1.784;133380.64;546242.54;1.804;133385.114;546244.772;2.323;133390.036;546247.227;3.835;133390.036;546247.227;3.835;133392.273;546248.342;3.885;133392.72;546248.566;3.769;133403.458;546253.922;0.339;133406.143;546255.261;0.072;133409.275;546256.823;-1.87;-1;-1;-1;-1;-1;-1;133480.416;546292.308;-3.85
12-2_230;133335.87;546192.271;-2.853;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;133381.061;546214.812;-1.618;133391.799;546220.169;1.884;133396.273;546222.4;2.401;133400.747;546224.632;3.89;133401.195;546224.855;3.992;133403.432;546225.971;4.088;133403.432;546225.971;4.088;133414.618;546231.551;0.149;133417.486;546232.981;-0.09;133421.776;546235.121;-2.4;-1;-1;-1;-1;-1;-1;133491.575;546269.937;-3.83
12-2_231;133347.029;546169.9;-2.809;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;133391.772;546192.218;-1.73;133403.405;546198.02;1.865;133407.88;546200.252;2.387;133412.354;546202.484;3.863;133412.354;546202.484;3.863;133414.591;546203.6;3.946;133414.591;546203.6;3.946;133425.329;546208.956;0.329;133428.518;546210.547;-0.1;133432.488;546212.527;-2.1;-1;-1;-1;-1;-1;-1;133502.734;546247.566;-3.8
